,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
2,0.09655555555555556,1.739574052574096,0.17420727272727277,0.15753835978835984,0.6084343434343434,0.150024400035995,0.22649259689360504,0.6165982307830004,0.2416430491990528,0.14508749364349727,BBQ,MNIST,random_forest,10,10000,1000,9000
3,0.056666666666666664,1.7660214038900695,0.19061860830527497,0.1963277777777778,0.8691414141414142,0.16647973201959337,0.22402096551761488,0.39445883637272183,0.24564044341049576,0.18897377674382915,BBQ,MNIST,random_forest,10,10000,1000,9000
4,0.09266666666666666,1.7603108220913217,0.15604276094276096,0.15995238095238093,0.7253030303030303,0.16583772628179988,0.22590411605514724,0.5580163816253828,0.2459274832700848,0.15326081660341812,BBQ,MNIST,random_forest,10,10000,1000,9000
5,0.035555555555555556,1.7654212571975803,0.20975735129068468,0.21465105820105818,0.8241919191919193,0.15727114858961594,0.22066443054937054,0.15259645124290766,0.2429484880856451,0.20739293253008953,BBQ,MNIST,random_forest,10,10000,1000,9000
6,0.09377777777777778,1.7473707840377124,0.15353554433221103,0.1588666666666667,0.7253030303030303,0.15678540253178724,0.22394099980454388,0.5615504454525647,0.244057135382655,0.15027935760487726,BBQ,MNIST,random_forest,10,10000,1000,9000
7,0.08966666666666667,1.7818190161693768,0.1661512682379349,0.1622833333333333,0.7522727272727273,0.16337227173308483,0.2254798935072432,0.5697584599821213,0.24384018781103023,0.15417352114436353,BBQ,MNIST,random_forest,10,10000,1000,9000
8,0.08655555555555555,1.75279304599666,0.16019315375982043,0.16461851851851853,0.7073232323232324,0.16093491211511235,0.22530849395211075,0.5595944491276231,0.24392633921220933,0.1573707836566538,BBQ,MNIST,random_forest,10,10000,1000,9000
9,0.04455555555555556,1.7708023390179655,0.2030690460157127,0.20881269841269842,0.7522727272727273,0.1680157798219985,0.22423728089676614,0.27596699325889407,0.24650595712605283,0.2019504015704973,BBQ,MNIST,random_forest,10,10000,1000,9000
0,0.9721111111111111,0.20656888551020577,0.013952793067397686,0.021795817789098813,0.8961111111111112,0.026298413072936542,0.7910454961361647,0.010037992439175981,0.9844144470755364,0.012303335964425158,BBQ,MNIST,1layer_NN,10,10000,1000,9000
1,0.9743333333333334,0.12287937876592347,0.016225020226862917,0.03375781797025451,0.5983333333333333,0.03848545450771009,0.6861076179021349,0.018482143781638247,0.9739356601015784,0.0003976732317547728,BBQ,MNIST,1layer_NN,10,10000,1000,9000
2,0.9741111111111111,0.14142003032463274,0.014125031978686836,0.031172364260947574,0.6342929292929292,0.03429622425919678,0.7404441770006559,0.02104777088846325,0.9727775206513328,0.0013335904597783083,BBQ,MNIST,1layer_NN,10,10000,1000,9000
3,0.9741111111111111,0.12262612066178033,0.014387333623245787,0.03495796535682301,0.7691414141414141,0.04460047480367929,0.6667331825728152,0.021129757091109418,0.9707893612357454,0.003321749875365619,BBQ,MNIST,1layer_NN,10,10000,1000,9000
4,0.9756666666666667,0.1252290687037599,0.012717855133724615,0.031054140949191518,0.6253030303030302,0.031878902231744825,0.7320858420087957,0.01761723252259316,0.9762922089576705,0.0006255422910039568,BBQ,MNIST,1layer_NN,10,10000,1000,9000
5,0.9735555555555555,0.14411932691553672,0.011837040393134043,0.03313676037298157,0.5005555555555556,0.026610908518680317,0.7654957487144948,0.01632606229021057,0.977904336711914,0.004348781156358342,BBQ,MNIST,1layer_NN,10,10000,1000,9000
6,0.9721111111111111,0.13446458632767397,0.012788563335320692,0.03257673740694345,0.6972222222222222,0.04910336760720392,0.6560374870081553,0.02107304530207008,0.9699219262101372,0.0021891849009738167,BBQ,MNIST,1layer_NN,10,10000,1000,9000
7,0.9732222222222222,0.15906764178365543,0.009600211407113812,0.025430900431284945,0.5893434343434343,0.02628612277603724,0.7663617462523459,0.011304878112109479,0.9827415281625387,0.009519305940316502,BBQ,MNIST,1layer_NN,10,10000,1000,9000
8,0.9746666666666667,0.13662902430196336,0.012455940922464614,0.030451526763404072,0.6792424242424242,0.032608964025655246,0.7389899515861507,0.016678636531197756,0.977131634367775,0.002464967701108392,BBQ,MNIST,1layer_NN,10,10000,1000,9000
9,0.9754444444444444,0.12025323985321507,0.013530884301583687,0.03364477234210228,0.6342929292929292,0.03177256136057501,0.7188485743741327,0.021789890258504602,0.9718413431508081,0.0036031012936365084,BBQ,MNIST,1layer_NN,10,10000,1000,9000
